,M,T,W,R,F,Tmax,Tmin,FeelsLike,Precipitation,WindSpeed,CloudCover,RelativeHumidity,Demand
0,1,0,0,0,0,86.5,66.4,88.9,0.0,6.4,57.1,77.67,959.0
1,0,1,0,0,0,87.8,66.8,89.2,0.0,10.4,41.4,74.5,302.0
2,0,0,1,0,0,89.0,65.6,91.5,0.0,6.9,39.4,76.62,1028.0
3,0,0,0,1,0,86.9,66.8,91.1,0.0,10.4,52.0,80.55,321.0
4,0,0,0,0,1,85.4,68.2,90.3,0.42,6.5,49.8,82.33,995.0
5,1,0,0,0,0,82.6,70.2,85.9,0.58,12.8,67.5,83.84,916.0
6,0,1,0,0,0,82.3,69.6,83.7,0.0,5.5,67.4,80.26,325.0
7,0,0,1,0,0,82.6,69.7,86.3,0.25,4.6,71.3,86.65,1021.0
8,0,0,0,1,0,82.8,70.1,87.7,0.29,5.3,60.9,87.33,326.0
9,0,0,0,0,1,86.8,70.4,92.4,0.14,14.2,55.2,85.54,953.0
10,1,0,0,0,0,86.9,68.9,90.6,0.02,18.8,61.1,84.03,948.0
11,0,1,0,0,0,85.1,69.5,86.7,0.15,12.1,59.4,79.68,296.0
12,0,0,1,0,0,79.2,58.0,68.6,0.0,6.9,36.3,69.77,1022.0
13,0,0,0,1,0,81.8,53.0,80.7,0.0,4.0,10.1,72.15,347.0
14,0,0,0,0,1,83.0,56.4,82.4,0.0,7.0,10.5,74.34,1098.0
15,1,0,0,0,0,86.7,58.2,86.1,0.0,6.6,14.9,71.69,1030.0
16,0,1,0,0,0,84.5,62.0,85.7,0.01,8.2,51.7,75.74,375.0
17,0,0,1,0,0,86.6,63.3,89.2,0.01,5.5,37.0,78.45,1056.0
18,0,0,0,1,0,89.5,65.1,92.8,0.15,6.8,36.6,79.7,326.0
19,0,0,0,0,1,83.1,69.5,86.1,0.19,10.8,55.5,79.56,992.0
20,1,0,0,0,0,85.2,68.0,87.4,0.32,6.5,68.4,80.32,996.0
21,0,1,0,0,0,81.1,64.9,82.8,0.03,8.4,57.1,80.47,304.0
22,0,0,1,0,0,78.1,60.6,67.9,0.0,11.5,40.7,74.9,966.0
23,0,0,0,1,0,79.3,55.4,66.4,0.0,6.6,31.6,75.1,347.0
24,0,0,0,0,1,69.4,62.9,65.8,0.84,5.9,64.2,91.18,911.0
25,1,0,0,0,0,71.8,55.7,64.6,0.0,9.6,67.7,80.41,979.0
26,0,1,0,0,0,69.3,52.2,59.4,0.0,6.6,66.6,79.17,289.0
27,0,0,1,0,0,71.0,45.6,44.4,0.0,7.6,1.8,62.16,952.0
28,0,0,0,1,0,71.0,44.2,43.3,0.0,7.8,0.3,59.39,336.0
29,0,0,0,0,1,70.4,42.2,55.7,0.0,7.3,28.4,71.91,921.0
30,1,0,0,0,0,68.7,50.9,58.5,0.0,4.2,69.3,79.99,977.0
31,0,1,0,0,0,63.3,57.4,59.7,0.34,6.0,78.2,91.53,292.0
32,0,0,1,0,0,64.4,58.6,61.2,1.42,7.1,78.9,95.67,856.0
33,0,0,0,1,0,73.5,59.4,65.6,0.0,4.8,80.9,86.92,319.0
34,0,0,0,0,1,76.3,60.7,66.8,0.0,3.5,71.7,84.93,1026.0
35,1,0,0,0,0,79.6,61.2,69.4,0.2,8.8,57.8,78.99,979.0
36,0,1,0,0,0,66.6,52.8,56.4,0.96,9.7,72.5,93.81,263.0
37,0,0,1,0,0,67.5,45.5,46.1,0.0,13.8,34.0,77.69,896.0
38,0,0,0,1,0,69.8,46.5,56.9,0.0,10.9,34.1,76.25,320.0
39,0,0,0,0,1,62.0,40.1,46.2,0.0,5.4,32.5,75.35,1023.0
40,1,0,0,0,0,66.9,39.7,47.5,0.0,6.4,19.6,74.43,1013.0
41,0,1,0,0,0,68.8,42.5,41.8,0.0,10.6,20.1,77.16,312.0
42,0,0,1,0,0,67.6,47.8,55.8,0.0,6.6,39.1,76.45,968.0
43,0,0,0,1,0,73.7,43.1,56.6,0.0,10.9,10.7,78.68,335.0
44,0,0,0,0,1,75.2,47.6,59.9,0.0,12.2,23.0,79.47,942.0
45,1,0,0,0,0,79.3,49.6,62.8,0.0,5.8,32.8,79.28,1008.0
46,0,1,0,0,0,72.1,54.9,62.7,0.0,6.8,67.7,81.04,334.0
47,0,0,1,0,0,64.5,60.0,62.4,0.89,6.3,89.0,95.03,897.0
48,0,0,0,1,0,72.7,63.0,66.8,0.92,9.0,90.9,86.88,279.0
49,0,0,0,0,1,72.8,60.9,65.8,0.01,6.9,86.1,88.98,974.0
50,1,0,0,0,0,69.0,47.6,61.5,0.06,8.7,60.7,78.48,905.0
51,0,1,0,0,0,75.5,42.2,55.3,0.0,3.6,11.3,71.69,338.0
52,0,0,1,0,0,76.5,44.6,59.7,0.0,12.5,27.7,75.59,953.0
53,0,0,0,1,0,62.5,43.0,49.5,0.04,8.6,76.9,67.46,273.0
54,0,0,0,0,1,60.9,34.6,31.9,0.0,4.3,21.5,65.24,951.0
55,1,0,0,0,0,68.7,37.0,40.1,0.0,4.9,8.6,64.34,1016.0
56,0,1,0,0,0,73.5,44.0,43.0,0.0,5.9,21.1,72.04,325.0
57,0,0,1,0,0,76.6,48.0,47.8,0.0,3.4,10.8,78.25,1052.0
58,0,0,0,1,0,78.5,48.4,61.6,0.0,5.6,10.5,76.39,356.0
59,0,0,0,0,1,81.2,51.4,80.5,0.0,4.1,21.0,76.26,1045.0
60,1,0,0,0,0,79.5,51.3,63.8,0.01,7.6,31.9,77.46,987.0
61,0,1,0,0,0,72.5,56.1,63.8,0.07,5.3,76.4,85.36,331.0
62,0,0,1,0,0,74.7,57.9,65.3,0.04,6.9,72.1,80.72,1024.0
63,0,0,0,1,0,74.0,56.7,64.2,0.0,7.7,81.0,79.32,323.0
64,0,0,0,0,1,73.7,56.6,65.1,0.0,8.4,74.4,78.84,987.0
65,1,0,0,0,0,66.8,54.6,61.4,0.48,3.9,83.2,93.39,902.0
66,0,1,0,0,0,77.7,63.9,68.1,1.32,16.2,88.4,85.85,278.0
67,0,0,1,0,0,60.8,43.6,42.1,0.14,19.0,87.5,69.61,827.0
68,0,0,0,1,0,61.1,33.8,43.2,0.0,6.6,19.8,69.04,323.0
69,0,0,0,0,1,63.1,43.6,34.9,0.03,21.5,69.5,63.81,770.0
70,1,0,0,0,0,48.1,30.4,24.0,0.0,16.6,21.0,47.07,866.0
71,0,1,0,0,0,58.5,27.3,34.6,0.0,6.6,0.8,59.89,332.0
72,0,0,1,0,0,69.3,32.2,49.1,0.0,6.5,0.0,62.21,949.0
73,0,0,0,1,0,66.7,36.4,49.5,0.0,6.7,22.3,64.89,293.0
74,0,0,0,0,1,72.2,38.8,52.5,0.0,3.2,26.1,66.0,987.0
75,1,0,0,0,0,76.0,39.4,55.2,0.0,2.3,0.0,72.31,1012.0
76,0,1,0,0,0,76.9,45.9,47.1,0.0,7.4,23.2,73.85,309.0
77,0,0,1,0,0,77.3,50.8,62.8,0.0,8.9,17.8,69.45,970.0
78,0,0,0,1,0,76.7,51.5,64.5,0.03,10.1,43.8,73.69,320.0
79,0,0,0,0,1,75.4,64.0,68.3,1.03,6.7,94.0,88.95,890.0
80,1,0,0,0,0,64.0,55.3,60.1,0.87,8.9,95.3,87.7,838.0
81,0,1,0,0,0,65.0,44.4,46.3,0.01,12.1,60.4,69.56,287.0
82,0,0,1,0,0,66.9,37.0,46.7,0.0,4.6,49.1,68.85,1008.0
83,0,0,0,1,0,70.6,48.5,44.9,0.04,24.5,46.8,60.03,242.0
84,0,0,0,0,1,54.9,32.1,34.2,0.0,14.0,0.1,53.83,906.0
85,1,0,0,0,0,50.9,30.2,27.5,0.0,15.2,13.3,53.77,906.0
86,0,1,0,0,0,47.1,26.9,26.2,0.0,6.4,2.6,55.07,308.0
87,0,0,1,0,0,62.5,28.6,25.8,0.0,5.2,0.6,55.39,964.0
88,0,0,0,1,0,63.0,30.5,43.8,0.0,12.4,1.6,70.37,257.0
89,0,0,0,0,1,65.2,34.3,46.9,0.0,2.3,30.8,77.87,969.0
90,1,0,0,0,0,64.6,40.4,51.6,0.0,11.9,65.6,75.45,926.0
91,0,1,0,0,0,55.1,33.6,35.7,0.24,11.5,59.6,70.53,271.0
92,0,0,1,0,0,56.9,29.5,38.7,0.0,5.7,44.0,69.04,964.0
93,0,0,0,1,0,65.7,38.5,35.5,0.01,13.2,78.3,64.17,280.0
94,0,0,0,0,1,65.6,43.3,57.1,0.01,12.4,52.4,74.66,939.0
95,1,0,0,0,0,59.8,35.7,46.1,0.0,8.8,47.2,80.61,993.0
96,0,1,0,0,0,59.3,38.8,39.1,0.0,6.8,40.7,70.48,321.0
97,0,0,1,0,0,57.6,32.4,44.3,0.01,5.1,51.7,74.01,957.0
98,0,0,0,1,0,49.4,33.0,24.0,0.39,16.1,98.4,90.69,272.0
99,0,0,0,0,1,32.6,28.4,17.8,0.07,14.8,99.4,81.03,779.0
100,1,0,0,0,0,40.4,24.1,16.6,0.0,10.4,42.7,72.39,893.0
101,0,1,0,0,0,52.7,20.5,28.5,0.0,4.2,37.7,71.11,294.0
102,0,0,1,0,0,47.4,37.8,36.6,0.54,7.3,93.4,78.45,823.0
103,0,0,0,1,0,45.8,30.9,31.8,0.03,13.5,79.8,77.45,265.0
104,0,0,0,0,1,49.7,26.2,46.1,0.0,4.9,43.2,85.57,1015.0
105,1,0,0,0,0,39.4,31.5,23.9,0.15,11.7,98.0,83.15,886.0
106,0,1,0,0,0,35.3,27.1,21.3,0.0,8.8,75.8,62.08,251.0
107,0,0,1,0,0,48.5,23.2,29.0,0.0,12.7,48.4,79.0,848.0
108,0,0,0,1,0,59.7,27.5,38.3,0.0,3.6,39.5,77.97,279.0
109,0,0,0,0,1,62.8,31.1,44.5,0.0,5.4,31.6,71.69,928.0
110,1,0,0,0,0,65.7,39.3,37.3,0.02,12.6,79.9,71.59,890.0
111,0,1,0,0,0,59.1,42.9,43.7,0.02,11.0,66.4,83.36,276.0
112,0,0,1,0,0,45.1,36.8,33.1,1.0,11.9,97.1,85.56,822.0
113,0,0,0,1,0,47.9,27.8,24.8,0.0,6.0,42.5,70.0,307.0
114,0,0,0,0,1,43.4,34.1,28.2,0.3,7.1,87.3,84.11,886.0
115,1,0,0,0,0,40.6,32.9,25.5,0.02,10.3,100.0,83.25,908.0
116,0,1,0,0,0,34.6,25.7,22.7,0.0,9.6,89.5,76.21,289.0
117,0,0,1,0,0,46.0,22.1,23.0,0.0,4.4,60.9,75.94,925.0
118,0,0,0,1,0,47.7,34.0,35.2,0.0,5.4,97.6,74.48,279.0
119,0,0,0,0,1,50.7,36.4,32.3,0.04,15.9,64.5,78.16,818.0
120,1,0,0,0,0,48.2,30.0,32.0,0.0,15.1,10.1,56.57,835.0
121,0,1,0,0,0,56.9,26.5,34.9,0.0,11.4,39.8,59.71,322.0
122,0,0,1,0,0,55.1,28.3,18.5,1.32,23.3,94.5,82.16,703.0
123,0,0,0,1,0,26.4,14.8,3.9,0.05,16.5,87.6,75.42,245.0
124,0,0,0,0,1,28.0,8.2,-1.6,0.02,9.8,22.8,76.62,894.0
125,1,0,0,0,0,45.4,14.1,27.8,0.0,3.6,31.9,78.99,967.0
126,0,1,0,0,0,41.9,28.3,26.7,0.0,3.3,88.5,88.64,289.0
127,0,0,1,0,0,49.0,28.8,35.9,0.0,4.4,39.1,78.34,944.0
128,0,0,0,1,0,55.6,34.4,30.7,0.0,12.0,58.1,67.86,279.0
129,0,0,0,0,1,54.5,37.1,46.0,0.06,3.4,76.8,91.88,975.0
130,1,0,0,0,0,59.6,44.0,45.5,0.57,10.4,81.5,87.51,851.0
131,0,1,0,0,0,60.6,43.0,50.9,0.0,5.8,79.2,80.25,316.0
132,0,0,1,0,0,48.2,38.8,32.9,0.02,12.2,99.0,83.66,837.0
133,0,0,0,1,0,45.1,34.6,31.7,0.01,8.1,73.3,76.12,248.0
134,0,0,0,0,1,43.4,35.3,30.9,0.12,13.8,98.9,82.94,807.0
135,1,0,0,0,0,36.8,34.0,29.5,0.0,6.5,99.7,71.84,879.0
136,0,1,0,0,0,41.5,32.3,26.5,0.0,6.1,83.9,71.17,237.0
137,0,0,1,0,0,37.9,34.1,28.4,0.61,6.4,98.8,86.43,846.0
138,0,0,0,1,0,34.1,29.6,26.0,0.0,6.8,99.7,71.5,266.0
139,0,0,0,0,1,38.5,27.8,32.3,0.0,2.5,46.3,72.34,960.0
140,1,0,0,0,0,37.5,28.0,33.4,0.19,3.0,85.8,91.22,911.0
141,0,1,0,0,0,40.1,28.7,33.4,0.0,6.2,76.6,87.6,325.0
142,0,0,1,0,0,40.1,27.3,36.2,0.0,3.9,43.6,78.45,1025.0
143,0,0,0,1,0,43.0,23.9,40.1,0.0,3.4,37.3,80.91,308.0
144,0,0,0,0,1,40.1,30.5,28.1,0.06,9.3,68.6,79.9,917.0
145,1,0,0,0,0,33.8,30.2,23.3,0.07,14.3,97.4,78.38,828.0
146,0,1,0,0,0,39.4,32.9,24.3,0.0,11.2,99.9,70.76,251.0
147,0,0,1,0,0,37.1,27.7,26.6,0.0,12.0,90.4,74.74,815.0
148,0,0,0,1,0,43.5,27.0,31.0,0.0,6.2,73.3,72.1,283.0
149,0,0,0,0,1,42.5,30.9,28.7,0.0,14.6,47.3,55.45,919.0
150,1,0,0,0,0,40.9,30.6,30.0,0.18,6.8,93.7,87.59,852.0
151,0,1,0,0,0,45.8,33.2,28.9,0.0,9.6,49.9,73.69,310.0
152,0,0,1,0,0,39.0,25.6,25.9,0.0,4.7,3.9,49.79,990.0
153,0,0,0,1,0,44.7,26.1,25.2,0.19,3.8,85.7,53.51,296.0
154,0,0,0,0,1,51.4,37.3,42.5,1.6,4.7,99.5,95.47,789.0
155,1,0,0,0,0,61.2,41.2,43.7,0.5,15.0,60.0,77.13,854.0
156,0,1,0,0,0,52.8,36.3,29.0,0.18,13.2,71.4,73.43,284.0
157,0,0,1,0,0,35.2,22.1,14.9,0.04,11.8,72.0,67.64,860.0
158,0,0,0,1,0,33.7,20.4,14.6,0.0,5.7,29.0,61.8,300.0
159,0,0,0,0,1,42.5,22.4,31.1,0.35,6.0,58.4,70.47,856.0
160,1,0,0,0,0,46.9,36.8,33.6,0.32,6.3,95.7,87.2,909.0
161,0,1,0,0,0,39.8,28.2,20.6,0.14,10.2,99.6,86.54,283.0
162,0,0,1,0,0,30.7,26.6,17.1,0.03,11.5,82.1,70.13,859.0
163,0,0,0,1,0,34.8,22.7,17.4,0.0,9.8,30.6,61.26,291.0
164,0,0,0,0,1,43.9,20.2,27.9,0.17,5.8,74.0,67.79,909.0
165,1,0,0,0,0,43.4,29.2,30.1,0.16,16.5,66.1,66.66,788.0
166,0,1,0,0,0,44.3,24.4,31.1,0.05,9.7,60.9,64.44,280.0
167,0,0,1,0,0,37.8,26.0,28.1,0.26,7.9,72.4,83.96,878.0
168,0,0,0,1,0,50.7,23.0,20.6,0.0,3.9,12.6,66.07,327.0
169,0,0,0,0,1,52.4,34.4,31.8,0.01,3.3,77.7,80.26,932.0
170,1,0,0,0,0,60.3,39.8,38.9,0.0,6.3,82.9,73.89,958.0
171,0,1,0,0,0,46.1,41.4,37.9,0.77,6.0,93.7,91.97,269.0
172,0,0,1,0,0,43.3,39.3,33.9,0.31,7.7,100.0,90.88,860.0
173,0,0,0,1,0,44.2,38.5,35.5,0.75,4.9,98.5,92.97,286.0
174,0,0,0,0,1,43.3,37.9,34.7,0.0,5.8,96.6,86.97,882.0
175,1,0,0,0,0,54.3,36.2,35.0,0.28,9.4,91.9,85.59,851.0
176,0,1,0,0,0,48.9,22.8,15.7,0.02,17.1,99.3,79.2,236.0
177,0,0,1,0,0,45.7,22.4,16.4,0.17,7.4,59.6,62.17,861.0
178,0,0,0,1,0,43.5,33.4,29.3,1.16,5.9,97.8,89.88,259.0
179,0,0,0,0,1,39.9,27.8,22.0,0.03,8.3,86.9,81.15,857.0
180,1,0,0,0,0,38.6,22.8,14.9,0.0,9.9,39.1,65.29,849.0
181,0,1,0,0,0,50.0,22.1,21.1,0.0,8.4,26.7,54.26,276.0
182,0,0,1,0,0,49.4,38.3,34.2,0.59,11.3,68.4,64.99,816.0
183,0,0,0,1,0,58.2,30.9,31.3,0.0,15.0,2.8,57.78,257.0
184,0,0,0,0,1,66.0,32.9,42.9,0.0,14.1,21.0,52.38,906.0
185,1,0,0,0,0,58.4,44.2,42.9,0.0,5.4,44.7,43.03,962.0
186,0,1,0,0,0,48.9,42.9,38.3,0.81,9.1,91.1,67.75,268.0
187,0,0,1,0,0,52.9,42.6,39.2,0.48,6.0,99.0,94.19,879.0
188,0,0,0,1,0,71.6,52.0,62.1,0.23,14.6,89.5,78.1,246.0
189,0,0,0,0,1,60.4,39.2,34.4,0.86,11.0,88.6,68.32,758.0
190,1,0,0,0,0,46.5,32.7,29.9,0.0,6.4,52.3,50.08,923.0
191,0,1,0,0,0,54.3,29.8,35.9,0.0,7.5,3.7,53.41,306.0
192,0,0,1,0,0,58.4,31.7,36.7,0.0,12.6,8.5,47.27,901.0
193,0,0,0,1,0,44.1,33.0,27.9,0.0,8.4,32.9,39.8,294.0
194,0,0,0,0,1,47.7,31.9,32.6,0.0,10.9,38.1,37.85,835.0
195,1,0,0,0,0,52.2,21.8,33.8,0.0,13.1,18.4,43.58,899.0
196,0,1,0,0,0,60.4,22.2,49.0,0.0,8.7,19.0,38.95,269.0
197,0,0,1,0,0,64.5,26.9,44.8,0.0,11.5,39.7,44.39,913.0
