,Best Model ID,Holding Cost,Model Nodes,Test Prediction Cost
0,2,0.1,"[12, 34, 22, 1]",443.3757293993673
1,0,0.1,"[12, 20, 12, 1]",430.9210091977835
2,7,0.1,"[12, 29, 50, 32, 1]",335.6024918723792
3,1,0.1,"[12, 11, 13, 11, 1]",398.7811221284226
4,0,0.1,"[12, 13, 12, 1]",445.1528039511782
5,3,0.2,"[12, 18, 16, 1]",648.2817736738407
6,8,0.2,"[12, 31, 31, 22, 1]",754.184280444258
7,3,0.2,"[12, 32, 42, 38, 1]",594.3288820894381
8,6,0.2,"[12, 32, 30, 1]",722.1568110164363
9,0,0.2,"[12, 21, 16, 1]",647.6819147957019
10,5,0.3,"[12, 31, 50, 27, 1]",841.6071654493436
11,6,0.3,"[12, 31, 16, 1]",803.8060854098286
12,2,0.3,"[12, 30, 18, 12, 1]",969.5219626137243
13,0,0.3,"[12, 11, 18, 17, 1]",1050.9096995588307
14,0,0.3,"[12, 22, 19, 16, 1]",911.5218100258336
15,8,0.4,"[12, 19, 11, 1]",1280.5529338605106
16,5,0.4,"[12, 33, 30, 1]",1118.4586470241363
17,1,0.4,"[12, 15, 12, 1]",865.0309325391873
18,3,0.4,"[12, 25, 23, 1]",1078.906433982971
19,8,0.4,"[12, 15, 19, 18, 1]",942.8512787742737
20,1,0.5,"[12, 24, 37, 31, 1]",1468.1855689100564
21,0,0.5,"[12, 21, 31, 16, 1]",1247.3044630544255
22,2,0.5,"[12, 16, 14, 1]",1693.9369370335587
23,1,0.5,"[12, 17, 17, 1]",1087.2020870123426
24,0,0.5,"[12, 19, 18, 1]",1608.5450141102358
25,0,0.6,"[12, 24, 16, 1]",1487.8603312824482
26,1,0.6,"[12, 32, 24, 1]",1576.3595372404156
27,8,0.6,"[12, 28, 53, 44, 1]",1367.2593951240515
28,3,0.6,"[12, 25, 17, 1]",1338.269721960488
29,1,0.6,"[12, 14, 9, 5, 1]",1718.2672376541284
30,0,0.6,"[12, 33, 25, 1]",1669.8653872553916
31,3,0.7,"[12, 11, 8, 1]",1382.6466390103958
32,2,0.7,"[12, 36, 19, 1]",1834.160959262056
33,2,0.7,"[12, 28, 21, 1]",1489.3079375733207
34,1,0.7,"[12, 31, 51, 27, 1]",1660.7531553030774
35,0,0.7,"[12, 23, 30, 23, 1]",1494.667983960039
36,3,0.8,"[12, 22, 43, 40, 1]",1660.2101795330593
37,8,0.8,"[12, 14, 12, 8, 1]",1204.4509542544424
38,3,0.8,"[12, 13, 11, 1]",1515.221699577551
39,3,0.8,"[12, 32, 28, 1]",1768.973529462235
40,1,0.8,"[12, 23, 27, 22, 1]",1722.6390443259534
41,8,0.8,"[12, 28, 27, 25, 1]",1443.5403142082046
42,3,0.8,"[12, 21, 41, 26, 1]",1776.0480736680686
43,8,0.9,"[12, 25, 23, 1]",1698.3849243554064
44,8,0.9,"[12, 27, 21, 11, 1]",1210.7142482184754
45,0,0.9,"[12, 11, 6, 4, 1]",1724.1464993900383
46,1,0.9,"[12, 30, 15, 14, 1]",1575.4881874547598
47,9,0.9,"[12, 28, 15, 1]",1782.3564408274883
48,6,0.9,"[12, 15, 21, 14, 1]",1820.08599990016
49,2,1.0,"[12, 11, 8, 1]",2165.2858153516872
50,3,1.0,"[12, 27, 34, 22, 1]",2092.3035252970253
51,0,1.0,"[12, 21, 11, 7, 1]",2193.661718008998
52,3,1.0,"[12, 9, 13, 11, 1]",2381.0404713786065
53,3,1.0,"[12, 11, 10, 8, 1]",1447.6516031381036
54,9,1.0,"[12, 29, 24, 1]",1859.997703479121
55,6,1.0,"[12, 7, 5, 4, 1]",1763.7875342810876
56,1,1.0,"[12, 32, 29, 20, 1]",1603.6635268336288
